Business,Street,City,State,Postcode,Country,Phone,Website,Email,Email Type,Categories,Description,Revenue,Employees,Founded,Sic,Naics,Linkedin,Facebook,X,Instagram,Youtube,Lat,Lng,Contact First Name,Contact Last Name,Contact Role,Contact Email
911 Boardup Company,2817 Dorr Ave,Fairfax,VA,20598,United States,(888) 293-5663,https://911boardup.com/,info@911boardup.com,Unknown,Fire damage restoration service,,,,,,,,,,,,38.8763905,'-77.2331625,,,,
Ace Roofing Corporation,4000 Williamsburg Ct,Fairfax,VA,22032,United States,(703) 844-3199,,,,"Roofing contractor, General contractor",,,,,,,,,,,,38.8422185,'-77.2822254,,,,
Advanced Restoration Solutions,10560 Main St Suit #513,Fairfax,VA,22031,United States,(703) 382-1100,https://advancedrestorationsolutions.com/,denise@advancedrestorationsolutions.com,Service busy,"Water damage restoration service, Building restoration service, Carpet cleaning service, Fire damage restoration service, Waste management service","Advanced Restoration Solutions offers various damage restoration services such as water damage restoration, mold remediation, fire damage restoration and other restoration services. We service the Gaithersburg, MD and surrounding areas. We have offices in Gaithersburg, MD, Fairfax, VA and Baltimore, MD.",$1.1 M,6,2016,"15,152","23,236",https://www.linkedin.com/company/advanced-restoration-solution,https://www.facebook.com/AdvancedRestorationSolutionsLLC,https://x.com/AdvancedARS_,https://www.instagram.com/advancerestorationsusa,https://www.youtube.com/@AdvanceRestorationSolutions,38.8480329,'-77.3102131,,,,
All Day Roofing & More,3060 Williams Dr Suite 300 # 505,Fairfax,VA,22031,United States,(703) 782-3180,https://alldayroofingandmore.com/,info@hma.hgp.mybluehost.me,Unknown,"Roofing contractor, Dry wall contractor, Gutter service, Insulation contractor, Painter, Siding contractor, Window installation service",,,,,,,,,,,,38.8665223,'-77.2341353,,,,
Alpha Masonry & Chimney Repair Services,11199 Lee Hwy,Fairfax,VA,22030,United States,(276) 317-4202,,,,Contractor,,,,,,,,,,,,38.8511645,'-77.3328912,,,,
American Builder & Groups Llc,3815 Egan Dr,Fairfax,VA,22030,United States,(703) 844-3240,,,,Roofing contractor,,,,,,,,,,,,38.857208,'-77.325478,,,,
American Construction Experts,2822 Juniper St Unit 1,Fairfax,VA,22031,United States,(703) 682-8842,https://www.aceconstructionva.com/,contact@aceconstructionva.com,Service busy,"General contractor, Construction company","Northern Virginia Remodeling & Construction Experts Kitchen remodels, bathroom renovations, home additions, and custom construction — built with precision, transparency, and expert craftsmanship. Request a Free Estimate Locally owned and operated.",,,,,,,https://web.facebook.com/aceconstructionva,,https://www.instagram.com/aceconstructionva,,38.8765043,'-77.2306088,,,,
"American Windows & Siding Of Va,inc.",5609 Sandy Lewis Dr,Fairfax,VA,22032,United States,(703) 323-1120,https://www.woodwindowsdc.com/,c.gunn@woodwindowsdc.com,Service busy,"Siding contractor, Door supplier, Home improvement store, Window installation service","American Windows Siding of VA, Inc. specializes in a range of products including wood, fiberglass, and vinyl windows, as well as doors and fiber cement siding. With over 30 years of experience, they serve clients in Washington DC, Virginia, and Maryland, offering premium windows and doors from renowned brands like Andersen, Marvin, and Pella.",$988 K,6,,,,,,,,,38.798478,'-77.2917171,,,,
Ams Construction Llc,Cavalier Landing Ct,Fairfax,VA,22030,United States,(540) 229-6647,https://www.ams-construction.com/,andrew.amsconstruction@gmail.com,Service busy,Contractor,"Established in 2010. Serving the Northern Virginia and Washington, D.C. Metro area, AMS Construction specializes in Additions/Renovations and Property Management. Owner, Andrew Smith will directly supervise your project, providing accountability, quality construction, and timely completion.",$7.6 M,301,2010,"15,152","23,236",https://www.linkedin.com,https://www.facebook.com/RealAMSconstruction,,https://instagram.com/ams_construction_llc,,38.8517398,'-77.3423453,,,,
Apex Design And Build,9990 Fairfax Blvd Suite 560,Fairfax,VA,22030,United States,(703) 966-2486,https://apexdesignandbuild.us/,,,Construction company,"Apex Design & Build | Precision in Design, Excellence in Build",,,,,,,,,,,38.863584,'-77.2898279,,,,
Armor Home Roofing,11166 Fairfax Blvd Ste. 500 #1247,Fairfax,VA,22030,United States,(703) 719-8822,https://www.armorhomeroofing.com/,,,Roofing contractor,Expert roofing services that protect your investment.,,,,,,,,,https://www.instagram.com/armorhomeroofing,,38.8557526,'-77.329991,,,,
Atlas Contracting Pro - Remodeling Services,13111 Point Pleasant Dr,Fairfax,VA,22033,United States,(703) 568-5801,http://www.atlascontractingpro.com/index.html#cid=glbc,,,General contractor,"Painting Contractor, Bathroom Remodeling Contractor and Kitchen Renovation and Basement Remodeling in Virginia, Residential.",,,,,,,,,,,38.8700795,'-77.3990806,,,,
Barex Of Dmv,2820 Dorr Ave Ste 230,Fairfax,VA,22031,United States,(703) 570-6814,https://www.barexgroup.com/locations/fairfax-va,,,"Water damage restoration service, Fire damage restoration service, General contractor","Barex Restoration & Facility Services is a full-service provider specializing in property restoration, facility maintenance, and emergency response. From water and mold damage to routine commercial cleaning and repair work, we deliver fast, reliable solutions to protect and maintain the spaces our clients rely on.",,5,,,,https://www.linkedin.com/company/barexgroup,https://facebook.com/BarexGroup,,https://www.instagram.com/barexservices,https://www.youtube.com/@BarexKnows,38.8762368,'-77.234724,,,,
Beall Exteriors,11350 Random Hills Rd #800,Fairfax,VA,22030,United States,(703) 674-8919,https://www.beallexteriors.com/,,,Roofing contractor,"Beall Exteriors specializing in roofing, gutter replacements, siding and damage assessments within District of Columbia, Maryland, & Virginia",,0,,"17,176","23,238",,,,,,38.8571681,'-77.3378149,,,,
"Brand Contracting, Inc.",4000 Legato Rd #1100,Fairfax,VA,22033,United States,(833) 377-5410,https://www.brand-contracting.com/,vmbusch@brand-contracting.com,Unknown,Construction company,"Brand Contracting, Inc. is a full service, “A”-licensed commercial and residential construction company serving the state of Virginia.",,2,2013,,,,,,,,38.865799,'-77.365192,,,,
"Capital Remodeling, Inc.",3877 Plaza Dr,Fairfax,VA,22030,United States,(800) 310-7154,https://www.capitalremodeling.com/,website@capitalremodeling.com,Unknown,"Roofing contractor, Bathroom remodeler, Kitchen remodeler, Remodeler, Window installation service","Capital Remodeling is your source for professional and quality home remodeling services. We specialize in new vinyl replacement windows, custom kitchen cabinets, and counter tops, beautiful bathrooms, as well as vinyl siding and roofing. Being in the remodeling business means that we also offer many more than just those services.",$18.5 M,103,1985,"17,176","23,238",https://www.linkedin.com/company/2934478,https://www.facebook.com/CapitalRemodeling,https://x.com/capremodeling,,https://www.youtube.com/channel/UCY3M-KHwUwhmLzGg1Prh87g,38.8484172,'-77.3011975,,,,
Capitol Metro Contracting,9990 Fairfax Blvd #410,Fairfax,VA,22030,United States,(571) 457-6368,https://www.capitolmetrocontracting.com/,kathy@capitolmetrocontracting.com,Unknown,General contractor,"Capitol Metro Contracting is a tight-knit team made strong by our diverse team members who are experienced professionals in various fields. We are also all Bilingual, fluent in English and Spanish. We bring different backgrounds and expertise ranging from Construction, Human Resources, Real Estate, Administrative and Marketing.",<$5 M,<25,,"17,179","23,238",,https://www.facebook.com/capitolmetrocontracting,,http://www.instagram.com/capitol.metro.contracting,,38.86362,'-77.2896554,,,,
