Business,Street,City,State,Postcode,Country,Phone,Website,Email,Email Type,Categories,Description,Revenue,Employees,Founded,Sic,Naics,Linkedin,Facebook,X,Instagram,Youtube,Lat,Lng,Contact First Name,Contact Last Name,Contact Role,Contact Email
"1st Impressions Contractors, Inc.",9651 Hood Rd Ste 4,Jacksonville,FL,32257,United States,(904) 233-1116,https://www.1stimpressionscontractors.com/,info@1stimpressionscontractors.com,Unknown,Roofing contractor,"Serving commercial & residential clients throughout Florida, Texas, Tennessee, & more, 1st Impressions provides one-stop solutions for all your property needs.",,,,,,,https://www.facebook.com/p/1st-Impressions-Contractors-Inc-100063601959288,,,,30.2025852,'-81.5829822,,,,
3mg Roofing & Solar,10175 Fortune Pkwy Unit 1102,Jacksonville,FL,32256,United States,(904) 561-4333,https://3mg.com/locations/jacksonville-roofer/,info@3mgroofing.com,,Roofing contractor,"3mg Solutions LLC is a company that operates in the Management Consulting industry. It employs 20to49 people and has 1Mto5M of revenue. The company is headquartered in Winter Park, Florida.",$52.2 M,82,2020,"17,176","23,238",https://www.linkedin.com/company/3mgroofing,https://www.facebook.com/3mgroofing,https://x.com/3MGRoofingSolar,,https://www.youtube.com/channel/UC7MpxXryoxNoT_9OAYBu2IA,30.1851219,'-81.5480958,,,,
820 Group,7979 Ramona Blvd W,Jacksonville,FL,32221,United States,(904) 712-1820,https://820group.com/,julian.davila@820group.com,,General contractor,"820 is a problem-solving company in which youll find solutions for your property.
Building the Future Together!",,20,,,,,,,,,30.3138596,'-81.7811095,Julian,Davila,,julian.davila@820group.com
904 Handyman & Home Services Llc,6999-2 Merrill Rd,Jacksonville,FL,32277,United States,(904) 701-4166,https://www.904handymanandhomeservices.com/,904handymanandhomeservices@gmail.com,Unknown,Handyman/Handywoman/Handyperson,"Reliable handyman services for all your small to medium home repairs and improvements. Painting, drywall, assembly, minor plumbing & electrical. Call (888) 123-4567.",,,,,,,,,,,30.3523374,'-81.5815422,,,,
9oh4 Llc,54 Hutchinson Rd,Jacksonville,FL,32220,United States,(904) 386-0986,,,,Handyman/Handywoman/Handyperson,,,,,,,,,,,,30.3151283,'-81.8609266,,,,
A & E General Contractors,1415 Moody St,Jacksonville,FL,32206,United States,(904) 356-8300,http://aegeneralcontractors.com/,office@americancontractorsjax.com,Unknown,General contractor,"A & E General Contractors is a construction company based out of 1415 Moody St, Jacksonville, Florida, United States.",,4,,,,https://www.linkedin.com/company/a-&-e-general-contractors,,https://mailto:office@AmericanContractorsJax.com,,,30.368128,'-81.6360499,,,,
A To Z Construction & Roofing,5644 Baywood Terrace,Jacksonville,FL,32211,United States,(904) 314-9191,https://www.atozconstructionandroofing.com/contact,atozconstruction904@gmail.com,Unknown,Roofing contractor,A to Z Construction & Roofing,,,,,,,https://www.facebook.com,https://x.com,https://www.instagram.com,,30.3504763,'-81.6014292,,,,
A&g United Roofing,12220 Atlantic Blvd,Jacksonville,FL,32225,United States,(904) 947-4878,https://agunitedroofing.com/,info@agunitedjax.com,Unknown,Roofing contractor,Home | A&G United Roofing,,,,,,,,https://mailto:info@agunitedjax.com,,,30.3171949,'-81.4883897,,,,
A&o Builders Ll,7384 Hawks Cliff Dr,Jacksonville,FL,32222,United States,(904) 383-5564,,,,Roofing contractor,,,,,,,,,,,,30.2056529,'-81.8088117,,,,
A&r Inc,4560 Zambito Ave,Jacksonville,FL,32210,United States,(904) 219-5392,,,,General contractor,,,,,,,,,,,,30.2569839,'-81.8070853,,,,
