Business,Street,City,State,Postcode,Country,Phone,Website,Email,Email Type,Categories,Description,Revenue,Employees,Founded,Sic,Naics,Linkedin,Facebook,X,Instagram,Youtube,Lat,Lng,Contact First Name,Contact Last Name,Contact Role,Contact Email
3 Kings General Contracting Llc,4514 Oak Fair Blvd Suite 145,Tampa,FL,33610,United States,(813) 957-1722,https://www.3kingsroofing.com/,info@3kingsroofing.com,,Roofing contractor,"We have been serving Texas residents since 2010. We have multiple locations in DFW, Lubbock and Colorado. Let us help you protect your kingdom!",$4.1 M,38,2010,"17,176","23,238",https://linkedin.com/in/dustin-cates-a2317b34,https://facebook.com/3kingsroofing,https://x.com/3kingsroofing,http://instagram.com/3kingsroofing,,27.9880015,'-82.3560248,Cody,Camacho,Project Manager,cody@3kingsroofing.com
3mg Roofing & Solar,6421 N Florida Ave,Tampa,FL,33604,United States,(813) 616-5600,https://3mg.com/location/tampa-fl/,info@3mgroofing.com,,Roofing contractor,"3mg Solutions LLC is a company that operates in the Management Consulting industry. It employs 20to49 people and has 1Mto5M of revenue. The company is headquartered in Winter Park, Florida.",$52.2 M,82,2020,"17,176","23,238",https://www.linkedin.com/company/3mgroofing,https://www.facebook.com/3mgroofing,https://x.com/3MGRoofingSolar,,https://www.youtube.com/channel/UC7MpxXryoxNoT_9OAYBu2IA,28.0054672,'-82.459285,,,,
4pt Punchlist Tampa,1718 E 7th Ave Suite 201b,Tampa,FL,33605,United States,(727) 476-9073,https://4ptpunchlist.com/real-estate-inspection-repairs-tampa/,laurean@redpalmmarketing.com,,Contractor,"If you’re trying to sell a home, time is of the essence—and every minute you save might help keep the deal from falling through. That’s why we’re proud to be one of the only companies in Florida with a license to do anything you need after a home or insurance inspection.",,3,2023,,,https://www.linkedin.com/company/4pt-punchlist-repairs,,,https://www.instagram.com/4ptpunchlist,,27.9603843,'-82.4398965,,,,
"7 Days New Roof, Inc.",4951 E Adamo Dr Suite,Tampa,FL,33605,United States,(888) 533-3317,https://7daysnewroofinc.com/,ceo@7dbinc.com,,"Roofing contractor, Contractor, Gutter cleaning service",Florida Roofing | 7 Days New Roof,,,,,,,,,,,27.9508283,'-82.4033561,,,,
7 Diamond Builders,4951 E Adamo Dr #230,Tampa,FL,33605,United States,(888) 533-3317,https://www.7diamondbuilders.com/,mike@7diamondbuilders.com,,"Roofing contractor, Air conditioning contractor, General contractor, Kitchen remodeler, Patio enclosure supplier, Remodeler, Sunroom contractor, Window installation service",7DB – One Stop Shop Home Improvements,,,,,,https://linkedin.com/company/7-diamond-builders,https://facebook.com/7DiamondBuilders,https://x.com/7DiamondBuild,https://instagram.com/7diamondbuilders,https://youtube.com/@7DiamondBuilders,27.9508283,'-82.4033561,Mike,Arodak,,mike@7diamondbuilders.com
911 Roofing,2375 S Tamiami Trl,Tampa,FL,33619,United States,(656) 219-0155,,,,Roofing contractor,,,,,,,,,,,,27.926676,'-82.402248,,,,
A Better Chimney's Inc,415 Fl-600,Tampa,FL,33609,United States,(656) 666-4214,,,,Chimney services,,,,,,,,,,,,27.9406938,'-82.506069,,,,
A D Morgan Corporation,716 N Renellie Dr,Tampa,FL,33609,United States,(813) 832-3033,https://www.admorgan.com/,prequalification@admorgan.com,,General contractor,"The A.D. Morgan Corporation maintains an outstanding reputation in the construction industry as Construction Managers and General Contractors. With offices in Tampa, Bradenton, Sebring and Cocoa the company currently employs almost 50 people with annual revenues of approximately $80 Million.",$6.7 M,34,1989,"15,154","23,236",https://www.linkedin.com/company/admorgan,https://www.facebook.com/admorgancorp,https://www.x.com/admorgancorp,,,27.9514916,'-82.5233041,Aaron,Simpson,Senior Project Manager,asimpson@admorgan.com
A Manos Roofing,7853 Gunn Hwy,Tampa,FL,33626,United States,(727) 645-3552,,,,Roofing contractor,,,,,,,,,,,,28.0813832,'-82.5853587,,,,
"A Plus Roofing & Gutters, Llc",12912 Eagles Entry Dr,Odessa,FL,33556,United States,(813) 852-6894,,,,"Roofing contractor, Gutter cleaning service",,,,,,,,,,,,28.1083138,'-82.6460239,,,,
